name,brand,price,store
Air Max,Nike,3000,Nike Store
Ultraboost,Adidas,2800,Adidas Mall
Classic,Reebok,2500,Reebok Hub
Air Force 1,Nike,3200,Nike Store
Gazelle,Adidas,2700,Adidas Mall
Club C 85,Reebok,2400,Reebok Hub
Pegasus 40,Nike,3100,Sports World
Stan Smith,Adidas,2600,Sports Mall
Nano X3,Reebok,2800,Fitness Planet
Revolution 6,Nike,2000,Nike Outlet
Superstar,Adidas,2900,Adidas Mall
Zig Kinetica,Reebok,2300,Reebok Hub
Zoom Fly 5,Nike,3400,Nike Store
Forum Low,Adidas,2500,Sports World
Floatride Energy,Reebok,2700,Fitness Planet
Cortez Basic,Nike,2200,Nike Outlet
NMD R1,Adidas,3100,Adidas Mall
Classic Leather,Reebok,2600,Reebok Hub
Infinity Run,Nike,3300,Sports World
Campus 00s,Adidas,3000,Adidas Mall
